dt,portfolio_id,nav
2019-05-23,a000Y000019ZliRQAS,102549.44
2019-05-22,a000Y000019ZliRQAS,103524.21
2019-05-21,a000Y000019ZliRQAS,103605.93
2019-05-20,a000Y000019ZliRQAS,103251.12
2019-05-19,a000Y000019ZliRQAS,104036.91
2019-05-18,a000Y000019ZliRQAS,104036.91
2019-05-17,a000Y000019ZliRQAS,103940.43
2019-05-16,a000Y000019ZliRQAS,104143.61
2019-05-15,a000Y000019ZliRQAS,103398.72
2019-05-14,a000Y000019ZliRQAS,102944.55
2019-05-13,a000Y000019ZliRQAS,102283.42
2019-05-12,a000Y000019ZliRQAS,103487.37
2019-05-11,a000Y000019ZliRQAS,103487.37
2019-05-10,a000Y000019ZliRQAS,103553.66
2019-05-09,a000Y000019ZliRQAS,104055.02
2019-05-08,a000Y000019ZliRQAS,104843.56
2019-05-07,a000Y000019ZliRQAS,104979.85
2019-05-06,a000Y000019ZliRQAS,106223.75
2019-05-05,a000Y000019ZliRQAS,106596.91
2019-05-04,a000Y000019ZliRQAS,106596.91
2019-05-03,a000Y000019ZliRQAS,106733.22
2019-05-02,a000Y000019ZliRQAS,106066.05
2019-05-01,a000Y000019ZliRQAS,106643.16
2019-04-30,a000Y000019ZliRQAS,106608.15
2019-04-29,a000Y000019ZliRQAS,106981.22
2019-04-28,a000Y000019ZliRQAS,106725.62
2019-04-27,a000Y000019ZliRQAS,106725.62
2019-04-26,a000Y000019ZliRQAS,106830.29
2019-04-25,a000Y000019ZliRQAS,106505.41
2019-04-24,a000Y000019ZliRQAS,106354.06
2019-04-23,a000Y000019ZliRQAS,106263.43
2019-04-22,a000Y000019ZliRQAS,105730.87
2019-04-21,a000Y000019ZliRQAS,105715.21
2019-04-20,a000Y000019ZliRQAS,105715.21
2019-04-19,a000Y000019ZliRQAS,105818.57
2019-04-18,a000Y000019ZliRQAS,105440.68
2019-04-17,a000Y000019ZliRQAS,105475.48
2019-04-16,a000Y000019ZliRQAS,105429.8
2019-04-15,a000Y000019ZliRQAS,105287.25
2019-04-14,a000Y000019ZliRQAS,105115.35
2019-04-13,a000Y000019ZliRQAS,105115.35
2019-04-12,a000Y000019ZliRQAS,105397.11
2019-04-11,a000Y000019ZliRQAS,104973.66
2019-04-10,a000Y000019ZliRQAS,105136.15
2019-04-09,a000Y000019ZliRQAS,104923.66
2019-04-08,a000Y000019ZliRQAS,105437.43
